,0
875,783462
876,784565
877,786569
878,788674
879,788876
880,789373
881,792564
882,792766
883,792867
884,793465
885,800941
886,802844
887,803240
888,804646
889,809252
890,810843
891,812746
892,814548
893,814649
894,815247
895,816653
896,818455
897,818859
898,820745
899,825048
900,825553
901,825654
902,826353
903,826454
904,827052
905,828862
906,832651
907,833148
908,833249
909,835657
910,837560
911,837964
912,841349
913,843151
914,844961
915,845458
916,849264
917,849971
918,852455
919,856766
920,856968
921,857263
922,859671
923,861456
924,865363
925,867468
926,869472
927,870861
928,871762
929,871964
930,872158
931,872562
932,872764
933,873968
934,877168
935,877269
936,878776
937,878877
938,880157
939,882161
940,884064
941,885975
942,886674
943,887373
944,888678
945,889579
946,891667
947,894067
948,894673
949,894774
950,896778
951,896879
952,898176
953,899885
954,901038
955,901139
956,901442
957,902242
958,904044
959,905147
960,907656
961,908860
962,910241
963,910443
964,911849
965,912447
966,917255
967,917558
968,919966
969,922854
970,923755
971,926862
972,927359
973,930449
974,932554
975,933253
976,937160
977,942658
978,943862
979,947668
980,951457
981,952863
982,955465
983,957974
984,958976
985,959574
986,962058
987,965367
988,965771
989,966975
990,969476
991,970764
992,971160
993,978578
994,979984
995,983773
996,984472
997,987074
998,987983
999,989987
1000,990366
1001,991267
1002,992673
1003,992774
1004,993675
1005,994273
1006,996782
